Country Name,Country Code,Year,Forest area (% of land area),Urban population (% of total population),Urban population growth (annual %),"Access to electricity, urban (% of urban population)",Renewable energy consumption (% of total final energy consumption),Individuals using the Internet (% of population),Adjusted savings: carbon dioxide damage (% of GNI),Adjusted savings: energy depletion (% of GNI),Adjusted savings: mineral depletion (% of GNI),Merchandise trade (% of GDP),Adjusted savings: natural resources depletion (% of GNI),Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Trade (% of GDP),Forest rents (% of GDP),Mineral rents (% of GDP),GDP (current US$),"GDP per capita, PPP (current international $)",GNI (current US$),"Compulsory education, duration (years)","Probability of dying among children ages 5-9 years (per 1,000)","Probability of dying among adolescents ages 10-14 years (per 1,000)","Probability of dying among adolescents ages 15-19 years (per 1,000)","Probability of dying among youth ages 20-24 years (per 1,000)",Number of infant deaths,"International tourism, number of arrivals","Net bilateral aid flows from DAC donors, United States (current US$)","Net bilateral aid flows from DAC donors, Japan (current US$)","Net bilateral aid flows from DAC donors, Germany (current US$)","Net bilateral aid flows from DAC donors, United Kingdom (current US$)","Net bilateral aid flows from DAC donors, Norway (current US$)","Net bilateral aid flows from DAC donors, Total (current US$)",Current health expenditure (% of GDP),Prevalence of undernourishment (% of population),"International tourism, expenditures (% of total imports)","Communications, computer, etc. (% of service imports, BoP)","Foreign direct investment, net outflows (BoP, current US$)",CO2 emissions (metric tons per capita),Cost of business start-up procedures (% of GNI per capita),Military expenditure (% of GDP),Import value index (2000 = 100),Market capitalization of listed domestic companies (% of GDP),"Listed domestic companies, total",Energy intensity level of primary energy (MJ/$2011 PPP GDP),"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",Research and development expenditure (% of GDP),Researchers in R&D (per million people),"Automated teller machines (ATMs) (per 100,000 adults)","Hospital beds (per 1,000 people)","Physicians (per 1,000 people)",High-technology exports (current US$),"New business density (new registrations per 1,000 people ages 15-64)",Exports as a capacity to import (constant LCU),"International tourism, number of departures"
Caribbean small states,CSS,2000,90.83307397801654,50.24799662515586,0.972862342169023,94.59135547403142,10.58989240817626,4.91930591106778,2.436087512007825,2.8095351865380342,0.1335427902339543,60.65189572684383,3.1009577707247247,,,,0.2239122724972633,0.5809914941333181,34218221460.824883,9508.200346339549,32598712397.20604,6.0,1.8663676822903872,2.005601539591115,4.6344753255920335,7.772487460354268,2995.0,11115377.442923648,-11809999.844059382,21700000.07748608,2269999.9641627087,47940000.63650316,2929999.95872378,149870002.30886048,4.69501583983077,,7.45705087800845,35.75233052686963,221988390.7598823,5.031100089875069,,,,,,,100.0,,,,,,,,,
Heavily indebted poor countries (HIPC),HPC,2000,29.51711667367744,28.72552243153724,3.8586727413918425,55.85679505987402,85.57868115934156,0.1740228515582047,0.8877216928451155,2.1276404041091825,0.1752683566571999,36.39245058339088,3.612503325096599,20.612251675602625,28.96478368976017,54.04785667007124,5.022441099437557,0.3151317448169886,176405809348.09958,1310.7477882235091,165758966120.31195,7.0,19.322971551261013,10.430887899192676,16.556313944622588,21.007017905999767,1753630.0,7778590.999872316,1205160003.4609432,930390003.3831588,706760001.0316823,978330011.3864242,270089999.0256876,8537790012.07277,4.072886847294891,,7.379844000922537,32.219337087091546,424725210.7936497,0.1675921502363962,,2.063809576825171,,,,,99.99929042373944,,,,,0.1134614905272084,,,,
Least developed countries: UN classification,LDC,2000,29.557784013722905,25.02408624647238,3.905316606976683,56.47294370893072,83.82465093064391,0.0996904057287205,0.9598399517409056,3.662215494742776,0.0632184543889156,36.67644801444727,4.911496524336969,18.990940722799213,25.411476651520044,58.51837226153461,3.715419396977617,0.1514360436817003,217725657627.9251,1223.2472212429163,212790622900.06528,6.0,17.135641892509476,8.937763836269912,14.213843337355382,17.767698315333302,2113557.0,8410825.329000114,1042920004.315674,1295079993.776977,661950001.7929823,1014840008.4376336,310669998.4576553,8858100008.14311,3.229168157060566,,5.971657557712628,37.059472635538526,655874979.7956798,0.1633407257869343,,2.3512006267363903,,,,,100.0,,,,,0.1378476434326785,,,,
Other small states,OSS,2000,30.630509498698785,49.82096802483903,2.921326364912914,80.46772181474508,31.469182951103267,5.395987790294596,2.2689503956656387,10.082235285449286,0.0949453717256476,85.69444250530158,12.184625948555633,66.99849101335724,52.22660241107064,105.5101424415147,0.6476077686898806,0.1360463021946944,91409484061.65675,11154.488170364231,86372469563.89603,8.0,9.092974720222331,5.370177250137115,9.991447914982354,14.944209420071996,33341.0,22028654.63923025,32520000.18022953,95369999.4385242,42780000.61772765,30470000.44956806,17309999.980032455,921410000.84579,4.635332693116806,,8.461444601659368,,1231666395.0797863,4.359741267129828,,,,,,,90.95206102925928,,,,,,,,,
Pacific island small states,PSS,2000,66.6923676012461,34.5439247527709,1.8255992453669163,87.1443922222958,44.65508079751325,1.4582307051442394,0.9327791008927208,0.0,0.1950865717983328,67.80761538865049,0.2159787870024242,44.84011050524413,61.96609631382557,110.18032018879111,1.0088814040555822,0.2525191463914178,3444921969.806072,3851.440471218148,3575560615.8606386,,3.8013260411382097,3.113180231924097,5.615840205009731,7.655657562280631,1358.0,,145329999.02777374,83749999.22513968,249999.9944120641,,100000.001490116,368429997.35102063,4.882527323377507,,8.545171971021961,27.8936814058508,2261855.785308402,1.0242293947721497,,,,,,,100.0,,,,,0.3674477553072446,,,,
Small states,SST,2000,41.29988754212173,48.89561204533717,2.419262828244456,84.27245631708327,26.968246203436863,5.008148863902704,2.278058366610854,7.875547567225014,0.1079462008296911,78.44344265943965,9.189275011118673,61.13996200519385,52.42807075932458,105.55149546340763,0.5447743645144146,0.2571861413323434,129062581247.97829,10306.346355561776,122573893803.79507,6.5,7.321738496673089,4.537714229018205,8.557936122537706,12.94461747304451,37694.0,35393988.806076795,166039999.36394387,200819998.74115,45300000.57630244,78410001.08607121,20339999.94024635,1439710000.5056713,4.657959636105381,,8.14533544515583,,1455916641.6249774,4.290193090855611,,,,,,,93.54539114239226,,,,,,,,,
Afghanistan,AFG,2000,1.850994087553228,22.078,3.3926438082969343,,54.2431983947754,,,,,,,,,,,,,,,6.0,6.6,5.1,9.7,15.9,90004.0,,2420000.07629395,209999.993443489,10630000.1144409,12649999.6185303,12569999.6948242,105239999.11174168,,,,,,0.0370549371204184,,,100.0,,,1.68617312382687,100.0,,,,0.3,,,,,
Albania,ALB,2000,28.076642335766422,41.741,0.7424786292851772,100.0,41.4449996948242,0.114097347,1.56325799346289,0.292709162313122,0.0,38.84660903154237,0.292709162313122,20.11528554526246,43.338787587365495,63.454073132627954,0.126636827998546,0.0,3480355258.04122,3860.804627058448,3585007221.8210096,8.0,2.2,1.7,3.4,5.3,1262.0,317000.0,44720001.220703095,7090000.15258789,19450000.762939498,9590000.15258789,3549999.95231628,228990004.31038445,7.2333703,,21.47670887950826,6.778476589797345,0.0,1.0262131085289965,,1.24636024189216,100.0,,,4.70543745478217,100.0,,,,3.26,1.3821,,,126379759262.21756,
Algeria,DZA,2000,0.6629606926028869,59.919,2.7042409262683464,,0.42739999294281,0.491705679,3.13218714518269,16.873452314553,0.0031670119121456,56.94794002396984,16.960565527023896,42.069717721341554,20.78862591469315,62.8583436360347,0.0999631945575483,0.0216086360014057,54790392746.193855,8446.58774102862,52080372257.16784,10.0,3.6,2.8,3.9,5.2,20639.0,866000.0,,-4880000.11444092,5780000.20980835,,1049999.95231628,118230000.16249707,3.48903275,,,,13699999.9,2.5317117921716856,,3.4333856350536296,100.0,0.5207044387727277,,3.5494405907365,100.0,,,,,,,,3394243605434.741,1006000.0
American Samoa,ASM,2000,88.65,88.587,1.85039025017886,,0.0,,,,,,,,,,,,,,,,,,,,,44000.0,,,,,,,,,,,,,,,100.0,,,,100.0,,,,,,,,,
