FileName,Greenery,Land/Barren Land,Construction
global_monthly_2019_11_mosaic_L15-0457E-1135N_1831_3648_13 2.tif,64.46,35.397,12.919
global_monthly_2019_06_mosaic_L15-1615E-1206N_6460_3366_13 2.tif,88.015,10.878,3.992
global_monthly_2018_08_mosaic_L15-1296E-1198N_5184_3399_13.tif,4.86,25.679,93.713
global_monthly_2019_01_mosaic_L15-1204E-1204N_4819_3372_13 2.tif,12.139,49.482,80.502
global_monthly_2019_09_mosaic_L15-1204E-1202N_4816_3380_13.tif,13.866,68.106,93.245
global_monthly_2018_01_mosaic_L15-1669E-1153N_6678_3579_13.tif,81.746,20.08,8.848
global_monthly_2019_01_mosaic_L15-0977E-1187N_3911_3441_13.tif,0.002,8.011,99.35
global_monthly_2019_12_mosaic_L15-1848E-0793N_7394_5018_13 2.tif,25.853,79.339,2.206
global_monthly_2018_05_mosaic_L15-1015E-1062N_4061_3941_13 2.tif,96.971,4.142,1.174
global_monthly_2018_03_mosaic_L15-1617E-1207N_6468_3360_13.tif,82.094,20.891,7.509
global_monthly_2019_08_mosaic_L15-0586E-1127N_2345_3680_13 2.tif,58.833,48.661,7.224
global_monthly_2018_01_mosaic_L15-1479E-1101N_5916_3785_13 2.tif,65.135,37.329,2.962
global_monthly_2019_11_mosaic_L15-0387E-1276N_1549_3087_13 2.tif,7.396,69.241,32.516
global_monthly_2019_04_mosaic_L15-0368E-1245N_1474_3210_13 2.tif,2.252,77.386,50.275
global_monthly_2018_02_mosaic_L15-1615E-1206N_6460_3366_13.tif,66.353,33.897,10.963
global_monthly_2018_06_mosaic_L15-0924E-1108N_3699_3757_13 2.tif,8.513,43.109,10.157
global_monthly_2019_07_mosaic_L15-1204E-1202N_4816_3380_13.tif,4.705,87.226,94.71
global_monthly_2018_06_mosaic_L15-1296E-1198N_5184_3399_13.tif,0.433,15.008,97.277
global_monthly_2019_10_mosaic_L15-0924E-1108N_3699_3757_13.tif,48.617,17.587,11.114
global_monthly_2018_06_mosaic_L15-1669E-1160N_6679_3549_13 2.tif,66.086,16.674,19.47
global_monthly_2018_10_mosaic_L15-1289E-1169N_5156_3514_13.tif,7.417,46.315,86.115
global_monthly_2018_03_mosaic_L15-1172E-1306N_4688_2967_13 2.tif,63.657,44.948,4.985
global_monthly_2018_09_mosaic_L15-1204E-1202N_4816_3380_13 2.tif,0.202,35.181,98.388
global_monthly_2017_11_mosaic_L15-1669E-1160N_6679_3549_13 2.tif,60.481,25.918,16.562
global_monthly_2020_01_mosaic_L15-1672E-1207N_6691_3363_13 2.tif,50.97,49.847,7.548
global_monthly_2020_01_mosaic_L15-1439E-1134N_5759_3655_13 2.tif,36.516,69.602,4.427
global_monthly_2018_04_mosaic_L15-0457E-1135N_1831_3648_13 2.tif,10.585,82.558,28.224
global_monthly_2020_01_mosaic_L15-0683E-1006N_2732_4164_13.tif,89.287,10.984,9.563
global_monthly_2018_01_mosaic_L15-1709E-1112N_6838_3742_13 2.tif,90.479,14.517,2.383
global_monthly_2018_02_mosaic_L15-1335E-1166N_5342_3524_13.tif,45.061,7.447,99.852
global_monthly_2020_01_mosaic_L15-0614E-0946N_2459_4406_13.tif,57.666,40.188,16.033
global_monthly_2018_04_mosaic_L15-0387E-1276N_1549_3087_13 2.tif,8.301,70.66,47.078
global_monthly_2018_11_mosaic_L15-0368E-1245N_1474_3210_13 2.tif,0.021,82.436,44.489
global_monthly_2018_05_mosaic_L15-1014E-1375N_4056_2688_13.tif,77.578,24.202,7.789
global_monthly_2018_07_mosaic_L15-1848E-0793N_7394_5018_13 2.tif,93.438,5.71,2.701
global_monthly_2019_10_mosaic_L15-1015E-1062N_4061_3941_13 2.tif,88.235,12.561,3.538
global_monthly_2019_05_mosaic_L15-1617E-1207N_6468_3360_13.tif,66.527,33.136,15.554
global_monthly_2018_07_mosaic_L15-0977E-1187N_3911_3441_13.tif,0,1.179,99.964
global_monthly_2018_11_mosaic_L15-1669E-1160N_6679_3549_13.tif,59.268,32.8,11.407
global_monthly_2017_07_mosaic_L15-1691E-1211N_6764_3347_13.tif,83.836,15.712,9.523
global_monthly_2019_08_mosaic_L15-1200E-0847N_4802_4803_13 2.tif,58.479,48.262,3.016
global_monthly_2019_09_mosaic_L15-1669E-1153N_6678_3579_13.tif,97.326,3.699,7.423
global_monthly_2017_07_mosaic_L15-1203E-1203N_4815_3378_13 2.tif,0,0.889,99.58
global_monthly_2019_07_mosaic_L15-1335E-1166N_5342_3524_13 2.tif,79.643,16.712,98.684
global_monthly_2019_04_mosaic_L15-1615E-1206N_6460_3366_13.tif,77.822,24.504,3.263
global_monthly_2018_06_mosaic_L15-0331E-1257N_1327_3160_13.tif,15.883,83.26,34.784
global_monthly_2018_10_mosaic_L15-1203E-1203N_4815_3378_13 2.tif,0.186,21.325,96.245
global_monthly_2018_01_mosaic_L15-1204E-1202N_4816_3380_13.tif,2.195,67.729,90.27
global_monthly_2018_04_mosaic_L15-1538E-1163N_6154_3539_13 2.tif,82.204,20.316,4.892
global_monthly_2017_07_mosaic_L15-1690E-1211N_6763_3346_13 2.tif,79.3,15.981,15.371
global_monthly_2018_10_mosaic_L15-1690E-1211N_6763_3346_13 2.tif,75.271,20.646,10.434
global_monthly_2019_01_mosaic_L15-1669E-1153N_6678_3579_13 2.tif,69.773,24.957,20.677
global_monthly_2018_08_mosaic_L15-0331E-1257N_1327_3160_13.tif,14.425,78.833,13.093
global_monthly_2018_09_mosaic_L15-0977E-1187N_3911_3441_13.tif,0.006,14.171,99.648
global_monthly_2019_07_mosaic_L15-1669E-1153N_6678_3579_13.tif,82.141,12.505,34.699
global_monthly_2019_04_mosaic_L15-1439E-1134N_5759_3655_13 2.tif,38.633,67.56,2.302
global_monthly_2019_04_mosaic_L15-1672E-1207N_6691_3363_13 2.tif,57.224,44.03,13.782
global_monthly_2019_11_mosaic_L15-0361E-1300N_1446_2989_13 2.tif,46.568,55.497,9.403
global_monthly_2019_06_mosaic_L15-1438E-1134N_5753_3655_13 2.tif,37.527,67.955,9.593
global_monthly_2019_05_mosaic_L15-1203E-1203N_4815_3378_13 2.tif,1.406,27.73,97.034
global_monthly_2018_12_mosaic_L15-1481E-1119N_5927_3715_13.tif,53.773,51.695,0.919
global_monthly_2018_06_mosaic_L15-0506E-1204N_2027_3374_13 2.tif,89.599,2.236,7.818
global_monthly_2019_06_mosaic_L15-0358E-1220N_1433_3310_13.tif,11.067,80.488,26.72
global_monthly_2018_12_mosaic_L15-1335E-1166N_5342_3524_13 2.tif,0,2.596,99.879
global_monthly_2019_08_mosaic_L15-0361E-1300N_1446_2989_13.tif,46.217,50.331,19.64
global_monthly_2019_04_mosaic_L15-1335E-1166N_5342_3524_13.tif,0,0.311,100
global_monthly_2019_03_mosaic_L15-1014E-1375N_4056_2688_13.tif,74.876,28.42,6.533
global_monthly_2019_06_mosaic_L15-0614E-0946N_2459_4406_13 2.tif,23.1,75.64,5.975
global_monthly_2019_08_mosaic_L15-1389E-1284N_5557_3054_13.tif,33.61,84.033,20.671
global_monthly_2020_01_mosaic_L15-0368E-1245N_1474_3210_13 2.tif,17.361,84.879,17.021
global_monthly_2020_01_mosaic_L15-1538E-1163N_6154_3539_13.tif,78.341,26.981,1.539
global_monthly_2018_02_mosaic_L15-1691E-1211N_6764_3347_13 2.tif,40.134,64.337,6.323
global_monthly_2019_06_mosaic_L15-1389E-1284N_5557_3054_13.tif,6.726,91.796,13.392
global_monthly_2018_06_mosaic_L15-0760E-0887N_3041_4643_13 2.tif,75.999,25.18,6.642
global_monthly_2018_02_mosaic_L15-0487E-1246N_1950_3207_13 2.tif,4.487,94.114,25.551
global_monthly_2019_06_mosaic_L15-1669E-1160N_6678_3548_13 2.tif,31.837,4.339,5.573
global_monthly_2018_11_mosaic_L15-1439E-1134N_5759_3655_13 2.tif,66.49,37.276,5.908
global_monthly_2018_11_mosaic_L15-1672E-1207N_6691_3363_13 2.tif,47.139,48.58,15.309
global_monthly_2018_10_mosaic_L15-0586E-1127N_2345_3680_13.tif,84.389,10.754,12.411
global_monthly_2019_12_mosaic_L15-1200E-0847N_4802_4803_13.tif,75.811,27.791,7.03
global_monthly_2019_05_mosaic_L15-1690E-1211N_6763_3346_13 2.tif,67.981,30.052,8.312
global_monthly_2019_08_mosaic_L15-0358E-1220N_1433_3310_13.tif,9.172,84.174,22.994
global_monthly_2018_10_mosaic_L15-1848E-0793N_7394_5018_13.tif,89.847,10.384,4.699
global_monthly_2019_01_mosaic_L15-0331E-1257N_1327_3160_13 2.tif,77.859,25.416,2.372
global_monthly_2018_12_mosaic_L15-1669E-1160N_6678_3548_13.tif,73.994,15.881,14.703
global_monthly_2019_11_mosaic_L15-0368E-1245N_1474_3210_13.tif,1.971,85.731,33.004
global_monthly_2019_06_mosaic_L15-0361E-1300N_1446_2989_13.tif,57.699,37.808,21.528
global_monthly_2019_11_mosaic_L15-1538E-1163N_6154_3539_13 2.tif,85.776,16.466,3.017
global_monthly_2018_11_mosaic_L15-0632E-0892N_2528_4620_13.tif,0,10.853,97.063
global_monthly_2018_09_mosaic_L15-1289E-1169N_5156_3514_13 2.tif,1.206,32.558,94.679
global_monthly_2019_06_mosaic_L15-1276E-1107N_5105_3761_13 2.tif,15.688,85.58,36.515
global_monthly_2018_01_mosaic_L15-1025E-1366N_4102_2726_13.tif,86.607,15.557,2.353
global_monthly_2019_02_mosaic_L15-1538E-1163N_6154_3539_13.tif,68.132,35.106,3.571
global_monthly_2018_07_mosaic_L15-1185E-0935N_4742_4450_13.tif,1.124,94.846,6.52
global_monthly_2018_12_mosaic_L15-1276E-1107N_5105_3761_13.tif,0.163,98.857,31.291
global_monthly_2019_01_mosaic_L15-0357E-1223N_1429_3296_13.tif,58.717,43.113,9.919
global_monthly_2018_03_mosaic_L15-1690E-1211N_6763_3346_13.tif,45.84,58.549,12.553
global_monthly_2019_03_mosaic_L15-1289E-1169N_5156_3514_13 2.tif,7.717,43.702,91.772
global_monthly_2019_08_mosaic_L15-0487E-1246N_1950_3207_13 2.tif,91.621,7.626,5.592
global_monthly_2018_12_mosaic_L15-1049E-1370N_4196_2710_13 2.tif,80.257,19.942,5.697
global_monthly_2018_04_mosaic_L15-0614E-0946N_2459_4406_13.tif,53.37,46.559,10.028
global_monthly_2019_06_mosaic_L15-1716E-1211N_6864_3345_13 2.tif,61.301,43.879,9.612
global_monthly_2019_06_mosaic_L15-1296E-1198N_5184_3399_13 2.tif,0.539,16.807,97.591
global_monthly_2019_06_mosaic_L15-0544E-1228N_2176_3279_13.tif,76.261,21.684,14.277
global_monthly_2019_09_mosaic_L15-1049E-1370N_4196_2710_13.tif,66.428,31.244,15.466
global_monthly_2018_11_mosaic_L15-0487E-1246N_1950_3207_13.tif,37.628,64.166,5.053
global_monthly_2018_04_mosaic_L15-0683E-1006N_2732_4164_13.tif,89.83,10.99,11.583
global_monthly_2018_10_mosaic_L15-1138E-1216N_4553_3325_13.tif,3.443,88.174,29.349
global_monthly_2019_10_mosaic_L15-1481E-1119N_5927_3715_13 2.tif,88.021,15.631,2.073
global_monthly_2018_10_mosaic_L15-1389E-1284N_5557_3054_13 2.tif,26.793,82.788,22.729
global_monthly_2018_03_mosaic_L15-1709E-1112N_6838_3742_13.tif,39.631,66.091,11.207
global_monthly_2019_07_mosaic_L15-1049E-1370N_4196_2710_13.tif,64.914,32.192,17.148
global_monthly_2019_08_mosaic_L15-0544E-1228N_2176_3279_13.tif,74.137,21.289,16.519
global_monthly_2018_04_mosaic_L15-0357E-1223N_1429_3296_13 2.tif,90.659,19.45,5.896
global_monthly_2019_08_mosaic_L15-1691E-1211N_6764_3347_13 2.tif,85.791,14.944,2.873
global_monthly_2018_07_mosaic_L15-0566E-1185N_2265_3451_13.tif,94.414,4.366,5.023
global_monthly_2018_07_mosaic_L15-0571E-1075N_2287_3888_13 2.tif,35.033,19.774,16.478
global_monthly_2019_12_mosaic_L15-1210E-1025N_4840_4088_13 2.tif,80.469,20.403,1.481
