GDP Implicit Price Deflators (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CountryID,Country,Currency,Measure,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
4,Afghanistan,Afghani,GDP Index current prices - NC,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.06,0.20,0.58,0.77,0.77,8.79,13.83,14.94,17.11,20.15,22.53,26.91,31.00,41.10,44.96,51.00,59.68,70.89,85.17,94.97,97.82,100.00,106.88,112.35,116.04,128.44,132.88
4,Afghanistan,US dollar,GDP Index current prices - USD,9.25,9.69,8.81,9.10,11.02,12.40,13.43,15.31,17.22,19.40,19.49,18.32,18.33,18.21,18.00,17.80,17.75,15.94,14.50,17.06,19.02,18.18,18.41,15.20,9.17,14.73,14.27,15.63,15.68,11.53,17.86,19.23,22.13,25.27,28.80,33.24,37.97,50.30,54.70,61.96,78.55,92.72,102.26,104.86,104.48,100.00,96.29,100.98,98.43,101.02,105.77
4,Afghanistan,US dollar,GDP Index constant prices - USD,55.94,55.78,48.64,47.66,49.99,53.01,55.99,54.42,56.89,56.61,54.66,55.10,56.23,58.64,60.10,60.47,61.92,57.34,52.32,48.48,46.52,42.26,41.65,33.68,25.93,33.85,35.06,33.25,31.69,30.18,28.56,26.95,40.04,46.37,47.70,51.28,55.67,68.27,67.52,74.86,78.79,84.12,92.28,98.41,101.44,100.00,101.55,104.24,105.48,109.60,107.48
4,Afghanistan,Afghani,Implicit Price Deflator - NC,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.04,0.25,0.59,1.66,2.31,2.43,29.13,48.43,55.43,42.73,43.46,47.24,52.48,55.69,60.20,66.59,68.13,75.74,84.28,92.29,96.50,96.43,100.00,105.25,107.78,110.01,117.19,123.63
4,Afghanistan,US dollar,Implicit Price Deflator - USD,16.54,17.37,18.11,19.09,22.04,23.38,23.99,28.13,30.28,34.27,35.66,33.24,32.60,31.06,29.95,29.43,28.66,27.81,27.72,35.18,40.89,43.03,44.19,45.13,35.34,43.52,40.69,47.01,49.49,38.20,62.53,71.35,55.27,54.50,60.37,64.83,68.20,73.67,81.02,82.77,99.70,110.23,110.82,106.55,102.99,100.00,94.83,96.88,93.32,92.17,98.41
8,Albania,Lek,GDP Index current prices - NC,0.79,0.81,0.84,0.86,0.88,0.91,0.94,0.96,0.99,1.02,1.05,1.08,1.11,1.13,1.11,1.13,1.17,1.16,1.14,1.26,1.13,1.10,3.41,8.43,12.41,15.46,23.31,23.10,26.83,30.93,34.94,39.28,42.56,47.25,51.43,56.07,60.85,67.32,75.34,79.76,86.43,90.68,92.92,94.13,97.28,100.00,102.66,108.11,114.11,117.95,112.94
8,Albania,US dollar,GDP Index current prices - USD,19.90,20.47,21.06,21.66,22.28,22.92,23.59,24.24,24.96,20.83,18.81,19.46,20.03,20.25,19.99,20.41,21.05,20.89,21.61,25.82,18.84,14.03,13.31,14.93,16.52,21.01,28.10,19.54,22.44,28.29,30.63,34.49,38.25,48.84,63.03,70.71,78.13,93.77,113.12,105.77,104.74,113.21,108.19,112.20,116.17,100.00,104.17,114.34,133.10,135.24,130.94
8,Albania,US dollar,GDP Index constant prices - USD,27.74,28.85,30.01,31.22,32.46,33.77,35.13,36.48,38.05,39.56,40.83,43.18,44.45,44.94,44.38,45.17,47.70,47.32,46.65,51.24,46.13,33.21,30.83,33.77,36.58,41.45,45.22,40.32,43.96,49.89,53.19,57.61,60.22,63.55,67.05,70.76,74.94,79.42,85.38,88.24,91.51,93.84,95.17,96.12,97.83,100.00,103.31,107.24,111.55,113.91,110.14
8,Albania,Lek,Implicit Price Deflator - NC,2.85,2.82,2.78,2.75,2.72,2.69,2.66,2.64,2.60,2.58,2.56,2.50,2.50,2.50,2.50,2.51,2.45,2.45,2.45,2.45,2.45,3.32,11.07,24.97,33.92,37.31,51.55,57.29,61.04,61.99,65.69,68.19,70.68,74.36,76.70,79.24,81.20,84.76,88.25,90.38,94.45,96.63,97.64,97.92,99.44,100.00,99.37,100.81,102.29,103.54,102.54
8,Albania,US dollar,Implicit Price Deflator - USD,71.71,70.93,70.16,69.39,68.64,67.87,67.13,66.46,65.60,52.67,46.06,45.06,45.05,45.05,45.03,45.19,44.13,44.13,46.32,50.40,40.85,42.23,43.19,44.22,45.16,50.69,62.13,48.45,51.04,56.71,57.58,59.86,63.52,76.86,94.00,99.94,104.26,118.07,132.50,119.87,114.46,120.64,113.68,116.73,118.75,100.00,100.82,106.62,119.32,118.73,118.88
