Country Name,Country Code,Year,Forest area (% of land area),Urban population (% of total population),Urban population growth (annual %),Access to electricity urban (% of urban population),Renewable energy consumption (% of total final energy consumption),Individuals using the Internet (% of population),Adjusted savings: carbon dioxide damage (% of GNI),Adjusted savings: energy depletion (% of GNI),Adjusted savings: mineral depletion (% of GNI),Merchandise trade (% of GDP),Adjusted savings: natural resources depletion (% of GNI),Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Trade (% of GDP),Forest rents (% of GDP),Mineral rents (% of GDP),GDP (current US$),GDP per capita PPP (current international $),GNI (current US$),Compulsory education duration (years),Probability of dying among children ages 5-9 years (per 1000),Probability of dying among adolescents ages 10-14 years (per 1000),Probability of dying among adolescents ages 15-19 years (per 1000),Probability of dying among youth ages 20-24 years (per 1000),Number of infant deaths,International tourism number of arrivals,Net bilateral aid flows from DAC donors United States (current US$),Net bilateral aid flows from DAC donors Japan (current US$),Net bilateral aid flows from DAC donors Germany (current US$),Net bilateral aid flows from DAC donors United Kingdom (current US$),Net bilateral aid flows from DAC donors Norway (current US$),Net bilateral aid flows from DAC donors Total (current US$),Current health expenditure (% of GDP),Prevalence of undernourishment (% of population),International tourism expenditures (% of total imports),Communications computer etc. (% of service imports BoP),Foreign direct investment net outflows (BoP current US$),CO2 emissions (metric tons per capita),Cost of business start-up procedures (% of GNI per capita),Military expenditure (% of GDP),Import value index (2000 = 100),Market capitalization of listed domestic companies (% of GDP),Listed domestic companies total,Energy intensity level of primary energy (MJ/$2011 PPP GDP),PM2.5 air pollution population exposed to levels exceeding WHO guideline value (% of total),Research and development expenditure (% of GDP),Researchers in R&D (per million people),Automated teller machines (ATMs) (per 100000 adults),Hospital beds (per 1000 people),Physicians (per 1000 people),High-technology exports (current US$),New business density (new registrations per 1000 people ages 15-64),Exports as a capacity to import (constant LCU),International tourism number of departures
Caribbean small states,CSS,2000,90.83307397801654,50.24799662515586,0.972862342169023,94.59135547403142,10.58989240817626,4.91930591106778,2.436087512007825,2.8095351865380342,0.1335427902339543,60.65189572684383,3.1009577707247247,44.16499539550867,54.720476737424015,98.95363375609328,0.2239122724972633,0.5809914941333181,34218221460.824883,9508.200346339549,32598712397.20604,6.0,1.866367682290387,2.005601539591115,4.634475325592034,7.772487460354268,2995.0,11115377.442923648,-11809999.844059378,21700000.07748604,2269999.964162722,47940000.63650316,2929999.95872378,149870002.30886042,4.69501583983077,8.685059769547813,7.457050878008449,35.75233052686963,221988390.7598877,5.031100089875069,29.08639038555282,1.2817815631746055,213.84201458096652,34.54541773465634,168.24216011313783,4.345909102219297,100.0,0.28032881863999526,127.93860306582722,31.835906285152817,1.9682156235290404,0.8221325056538621,851625068.2146674,1.7422340414210595,264800328182274.06,1675714.0575924388
Heavily indebted poor countries (HIPC),HPC,2000,29.51711667367744,28.725522431537243,3.8586727413918425,55.85679505987402,85.57868115934156,0.1740228515582047,0.8877216928451156,2.1276404041091825,0.1752683566571999,36.39245058339088,3.612503325096599,20.612251675602625,28.964783689760168,54.04785667007124,5.022441099437557,0.3151317448169886,176405809348.0996,1310.747788223509,165758966120.31195,7.0,19.322971551261013,10.430887899192676,16.556313944622588,21.007017905999767,1753630.0,7778590.999872316,1205160003.4609432,930390003.3831584,706760001.0316823,978330011.3864242,270089999.0256876,8537790012.072769,4.072886847294891,17.17349656446688,7.379844000922538,32.219337087091546,424725210.79364014,0.1675921502363962,78.35993814706755,2.063809576825171,358.3817003677227,11.932962786710084,144.737736585647,6.244133231912028,99.99929042373944,0.23945979002684523,41.732126981553016,4.57695073397881,0.6233447117619493,0.11346149052720839,77509510.17567001,0.6063562236966379,5425632706979.584,1088599.4716730213
Least developed countries: UN classification,LDC,2000,29.557784013722905,25.02408624647238,3.905316606976683,56.47294370893072,83.82465093064391,0.0996904057287205,0.9598399517409056,3.662215494742776,0.0632184543889156,36.67644801444726,4.911496524336969,18.990940722799213,25.411476651520047,58.51837226153461,3.715419396977617,0.1514360436817003,217725657627.9251,1223.2472212429163,212790622900.06528,6.0,17.135641892509476,8.937763836269912,14.213843337355382,17.767698315333302,2113557.0,8410825.329000114,1042920004.3156738,1295079993.776977,661950001.7929823,1014840008.4376336,310669998.4576553,8858100008.14311,3.229168157060566,18.053419565564898,5.971657557712628,37.059472635538526,655874979.7956848,0.1633407257869343,92.11838851491495,2.3512006267363903,362.23850799214017,24.47073351938608,1046.6203719215496,6.127669523780088,100.0,0.3595377478296617,73.22889773661012,4.702957676517125,0.5875644661711699,0.1378476434326785,607936368.6475216,0.5802147931189541,5719990316982.698,3355626.1010786043
Other small states,OSS,2000,30.630509498698785,49.82096802483903,2.9213263649129146,80.46772181474508,31.469182951103264,5.395987790294596,2.2689503956656387,10.082235285449286,0.0949453717256476,85.69444250530158,12.184625948555633,66.99849101335724,52.22660241107064,105.5101424415147,0.6476077686898806,0.1360463021946944,91409484061.65675,11154.488170364231,86372469563.89601,8.0,9.092974720222331,5.370177250137115,9.991447914982354,14.944209420071997,33341.0,22028654.63923025,32520000.180229545,95369999.43852425,42780000.61772765,30470000.449568033,17309999.98003246,921410000.84579,4.635332693116805,12.967005171634804,8.461444601659368,22.19616588024202,1231666395.079773,4.359741267129828,58.62373919104571,1.2021281369791759,227.2916280115941,46.20472257897838,191.86487487230832,4.727698360386242,90.95206102925928,0.172408959154485,136.97704802055978,18.759286541087743,1.2053778917316598,0.7847714470310249,1006877934.7019278,2.1289050416012913,16433598169570.55,1142916.423024486
Pacific island small states,PSS,2000,66.6923676012461,34.5439247527709,1.8255992453669165,87.1443922222958,44.65508079751325,1.4582307051442394,0.9327791008927206,2.172777594856862,0.19508657179833283,67.80761538865049,0.2159787870024242,44.84011050524413,61.96609631382557,110.18032018879111,1.0088814040555822,0.2525191463914178,3444921969.8060727,3851.440471218148,3575560615.8606386,6.856072957043182,3.8013260411382097,3.113180231924097,5.615840205009731,7.655657562280631,1358.0,1312472.7357454682,145329999.02777374,83749999.22513962,249999.99441206455,16214276.152567506,100000.0014901124,368429997.3510207,4.882527323377507,9.576854388601014,8.545171971021961,27.893681405850796,2261855.7852783203,1.0242293947721497,41.83861347997255,1.2837323450961937,364.56422565123637,15.764794980965556,85.68327862079633,5.608142896596767,100.0,0.1125462501079763,92.96070041280686,19.93754491980292,1.448428461991953,0.3674477553072446,35611315.618135564,0.7732255418270839,24338152467612.938,649696.0910513789
Small states,SST,2000,41.29988754212173,48.89561204533717,2.419262828244456,84.27245631708327,26.968246203436866,5.008148863902704,2.278058366610854,7.875547567225014,0.10794620082969111,78.44344265943965,9.189275011118673,61.13996200519385,52.42807075932458,105.55149546340763,0.5447743645144146,0.2571861413323434,129062581247.97829,10306.346355561776,122573893803.79507,6.5,7.321738496673089,4.537714229018205,8.557936122537706,12.944617473044508,37694.0,35393988.806076795,166039999.36394387,200819998.7411499,45300000.57630244,78410001.0860712,20339999.94024635,1439710000.5056715,4.657959636105381,12.763266038721817,8.14533544515583,24.077774922423643,1455916641.6249695,4.290193090855611,48.710455648856865,1.2257236985125333,218.14992912042106,49.63525678741688,213.08647539645472,4.888396752046971,93.54539114239226,0.1655473430852683,149.14384286891962,22.403132968743893,1.3113639436692455,0.8736028510589927,2200372183.1804733,2.3195769572788256,16898915994887.729,1195565.1648985352
Afghanistan,AFG,2000,1.850994087553228,22.078,3.392643808296935,43.48323796652726,54.2431983947754,3.7463853100706683,0.7110236417977241,3.9851086946357315,0.6014764967235627,40.01833903752096,4.8601746337119565,21.90679155718771,31.034774638548484,52.94156619573617,5.948552919902203,0.7825192346568186,14281745563.473412,1898.9759522475747,13634807634.399218,6.0,6.6,5.1,9.7,15.900000000000002,90004.0,478316.85693405656,2420000.076293975,209999.99344348907,10630000.114440888,12649999.618530273,12569999.694824204,105239999.11174178,5.179501678620987,23.15464278403699,5.394884492653655,24.46411396398567,18035437.556274414,0.0370549371204184,121.81452488798045,1.9240041250791837,100.0,20.547457088834186,83.60780773729833,1.68617312382687,100.0,0.30975196495195706,55.49739611575587,3.090979951223326,0.3,0.10094075202463176,21161754.750962768,0.39775215493900123,2816453098017.904,271987.6825806449
Albania,ALB,2000,28.076642335766426,41.741,0.742478629285177,100.0,41.4449996948242,0.114097347,1.56325799346289,0.292709162313122,0.43268939169125964,38.84660903154237,0.292709162313122,20.11528554526246,43.338787587365495,63.454073132627954,0.126636827998546,0.6975525969591068,3480355258.04122,3860.8046270584487,3585007221.8210096,8.0,2.2,1.7000000000000002,3.3999999999999995,5.3,1262.0,317000.0,44720001.220703065,7090000.152587891,19450000.762939513,9590000.15258786,3549999.9523162805,228990004.3103844,7.2333703,9.615464976533078,21.47670887950826,6.778476589797346,0.0,1.0262131085289965,40.17319250451337,1.24636024189216,100.0,45.32164219460064,190.56770486796708,4.70543745478217,100.0,0.21400104464647235,321.45543669754267,22.646664542352394,3.26,1.3821,948510546.9251645,1.0141517985641235,126379759262.21754,1738175.1185528154
Algeria,DZA,2000,0.6629606926028869,59.919,2.704240926268346,75.8870230710712,0.42739999294281,0.491705679,3.13218714518269,16.873452314553,0.0031670119121456,56.94794002396985,16.960565527023896,42.069717721341554,20.78862591469315,62.8583436360347,0.09996319455754829,0.0216086360014057,54790392746.19386,8446.58774102862,52080372257.16785,10.0,3.6,2.8,3.9000000000000004,5.2,20639.0,866000.0,67357473.09492612,-4880000.114440918,5780000.20980835,16048972.211949319,1049999.9523162805,118230000.16249704,3.48903275,11.71620441772336,5.096748005905606,24.18516890767633,13699999.899993896,2.5317117921716856,76.59361277231241,3.4333856350536296,100.0,0.5207044387727277,273.1571439610135,3.5494405907365,100.0,0.3182765438534424,349.02411755620847,18.440878654566735,2.313147649873196,1.0935876676591028,74582036.74892664,4.012007892525833,3394243605434.7407,1006000.0
American Samoa,ASM,2000,88.65,88.587,1.8503902501788598,82.53148678548355,16.95259070626046,29.348521902535254,1.566840989036738,12.31931237462194,0.491834560609998,79.79519614518325,11.69161796786605,53.384906804169404,69.26115834408003,122.64606514824949,1.6397684940211847,0.9105967229926499,16919693505.517818,11221.337114645085,24639237656.26728,8.542222392444696,4.647837769613835,3.577542778890872,6.163270114784664,9.05140462246696,3715.7973084926407,44000.0,3199900.08275339,5627757.404067278,299157.0414585471,4061924.199897021,2769998.309803132,54445999.15473688,5.201945288683528,16.062344473099245,5.517808695028864,33.00202991406755,221505600.8937378,3.0044818598631444,49.71005674091034,2.183418483078999,100.0,55.14521706382788,402.4737648845736,4.11164765314716,100.0,0.44026659327795714,281.0926895848775,30.368325755917613,3.198608818719406,1.2291917585029903,1660680.4006240817,7.659602172904674,834584249127.442,7702787.82280212
